Unnamed: 0,tags,Allen_electronegativity_A,E_vacum_level_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B,Type_Allen_010_diff_06,label
11,Sb-2dm-3356/WSe2-2dm-3594,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.124274421,3.072,-3.3544,-5.4683,3.294968,3.29496714,23.362456,90.0,90.0,120.0000086,,0
12,Sb-2dm-3356/SiS-2dm-3240,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.396149292,2.705,-4.3973,-5.6471,3.952752,6.630351,24.071701,90.0,90.0,90.0,,0
13,Sb-2dm-3356/TiNF-2dm-3400,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.283379526,2.432,-5.5224,-7.2131,3.051295,3.952744,24.334873,90.0,90.0,90.0,,0
14,Sb-2dm-3356/Mn(SbS2)2-2dm-3170,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.340379513,2.862,-3.3932,-5.4725,3.797719,6.501177552,24.73229,90.0,90.0,106.9824782,,0
15,Sb-2dm-3356/Te2Pt-2dm-4255,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,1.963323063,3.051,-3.9731,-5.0001,3.973709,3.973709301,22.725334,90.0,90.0,120.0000058,,0
16,Sb-2dm-3356/PdSe2-2dm-3426,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.05884641,1.783,-3.7477,-6.0789,5.684482,5.868625,21.474759,90.0,90.0,90.0,,0
17,Sb-2dm-3356/PtS2-2dm-4136,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.200524318,2.695,-4.4168,-7.0429,3.557728,3.557726783,22.662507,90.0,90.0,119.9999927,,0
18,Sb-2dm-3356/SnO2-2dm-5126,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.354923347,2.522,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90.0,90.0,60.00000017,,0
19,Sb-2dm-3356/PtSe2-2dm-3287,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.106503102,2.487,-4.2329,-6.1601,3.721333,3.721332825,22.613389,90.0,90.0,119.9999927,,0
20,Sb-2dm-3356/Li2WS4-2dm-5501,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.355701565,1.579,-4.1116,-7.2963,5.983973,5.983973,22.481056,90.0,90.0,90.0,,0
21,Sb-2dm-3356/Te2W-2dm-3050,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,1.933350961,3.716,-3.3091,-4.9577,3.524736002,3.524735472,23.646143,90.0,90.0,120.0001612,,0
22,Sb-2dm-3356/SnSe-2dm-4801,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.233621131,2.033,-3.2352,-5.5272,3.895047,6.166192,21.993132,90.0,90.0,90.0,,0
23,Sb-2dm-3356/SbF5-2dm-4722,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,4.042794506,1.806,-7.79,-10.2623,3.716632,4.545161,23.533328,90.0,90.0,90.0,,0
24,Sb-2dm-3356/Te2Mo-2dm-5370,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,1.938647658,3.768,-3.574,-5.1733,3.520389,3.520388486,23.619353,90.0,90.0,119.9999954,,0
25,Sb-2dm-3356/PdS2-2dm-3017,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.114105188,1.961,-4.0184,-6.2861,5.43846,5.545414,21.258494,90.0,90.0,90.0,,0
26,Sb-2dm-3356/Sb2TeSe2-2dm-3937,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.230129228,3.86,-4.6657,-5.8709,4.117986,4.117985577,27.164394,90.0,90.0,59.9999966,Z-scheme_A,1
27,Sb-2dm-3356/MoN2-2dm-4068,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.564861932,2.169,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90.0,90.0,70.96405323,,0
